Removed Member From Class: ClassName=trace_8 Member=C1
Added Pin To Net: NetName=NetMP1_1 Pin=MP1-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP1-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP1-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP1-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP2-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP2-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP2-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP2-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP2-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP2-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP2-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP2-1
Added Pin To Net: NetName=NetMP1_1 Pin=MP2-1
Added Net: Name=NetMP1_1
